"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","location_standardized"
460,46,"University of Illinois at Urbana-Champaign",76.5,460,66.4,48,81,29,84.1,231,86.7,230,63.2,552,"public",0,"/world-university-rankings/university-illinois-urbana-champaign",495,"United States",50655,19.7,"25%","51 : 49","University of Illinois at Urbana-Champaign","Languages, Literature & Linguistics,General Engineering,Business & Management,Mechanical & Aerospace Engineering,Mathematics & Statistics,Education,Other Health,Chemical Engineering,Psychology,Electrical & Electronic Engineering,Chemistry,Communication & Media Studies,History, Philosophy & Theology,Veterinary Science,Geography,Archaeology,Physics & Astronomy,Law,Architecture,Biological Sciences,Sociology,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Civil Engineering,Accounting & Finance,Medicine & Dentistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics",FALSE,FALSE,FALSE,"united states of america"
490,49,"Karolinska Institute",76.1,490,59.9,74,67.1,61,96.1,35,95.9,126,83.8,218,"master_account",0,"/world-university-rankings/karolinska-institute",496,"Sweden",8005,9.9,"28%","70 : 30","Karolinska Institute","Education,Business & Management,Psychology,Chemical Engineering,Sociology,Medicine & Dentistry,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics",FALSE,FALSE,FALSE,"sweden"
520,52,"Shanghai Jiao Tong University",75.8,520,72.4,35,79.3,31,77.5,394,100,22,56.4,705,"master_account",0,"/world-university-rankings/shanghai-jiao-tong-university",801,"China",40159,12.4,"9%","36 : 64","Shanghai Jiao Tong University SJTU","Geology, Environmental, Earth & Marine Sciences,General Engineering,Politics & International Studies (incl Development Studies),Sociology,Medicine & Dentistry,Biological Sciences,Communication & Media Studies,Chemical Engineering,Veterinary Science,Business & Management,Architecture,Psychology,Law,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Education,Agriculture & Forestry,Languages, Literature & Linguistics,Sport Science,Economics & Econometrics,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Civil Engineering,Computer Science,Other Health,Physics & Astronomy,History, Philosophy & Theology,Chemistry",FALSE,FALSE,FALSE,"china"
550,55,"Kyoto University",75.2,550,86.3,18,85.1,27,58.7,887,100,12,45.8,1027,"master_account",0,"/world-university-rankings/kyoto-university",516,"Japan",21707,9,"11%","25 : 75","Kyoto University","Architecture,Geography,Biological Sciences,Psychology,Mechanical & Aerospace Engineering,Law,Communication & Media Studies,Archaeology,Education,Electrical & Electronic Engineering,Sociology,Business & Management,Civil Engineering,Agriculture & Forestry,Economics & Econometrics,Physics & Astronomy,Chemistry,Computer Science,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),General Engineering,Accounting & Finance,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Other Health,Sport Science",FALSE,FALSE,FALSE,"japan"
610,61,"The University of Sydney",73.7,610,53.2,106,67.7,59,92.1,84,99.5,71,90.5,126,"master_account",1,"/world-university-rankings/university-sydney",522,"Australia",53079,27.5,"51%","57 : 43","The University of Sydney UniSyd","Electrical & Electronic Engineering,Law,General Engineering,Business & Management,Accounting & Finance,Mathematics & Statistics,Veterinary Science,Other Health,Communication & Media Studies,Psychology,Biological Sciences,Chemical Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Architecture,Mechanical & Aerospace Engineering,Physics & Astronomy,Computer Science,Education,Geology, Environmental, Earth & Marine Sciences,Sport Science,History, Philosophy & Theology,Economics & Econometrics,Archaeology,Chemistry,Art, Performing Arts & Design,Civil Engineering,Geography,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,"australia"
640,64,"Université Paris-Saclay",73.4,640,68.4,46,66.9,62,81.5,296,91,179,77.5,307,"master_account",0,"/world-university-rankings/universite-paris-saclay",699920,"France",32679,15,"24%","51 : 49","Université Paris-Saclay","Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Economics & Econometrics,Architecture,Biological Sciences,Law,Other Health,Sport Science,Accounting & Finance,General Engineering,Chemistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Chemical Engineering,Sociology",FALSE,FALSE,FALSE,"france"
650,65,"Nanjing University",73,650,66.8,47,65,68,86.3,192,99.1,83,61.5,590,"master_account",0,"/world-university-rankings/nanjing-university",727,"China",33608,14.6,"10%","59 : 41","Nanjing University","History, Philosophy & Theology,Psychology,Mathematics & Statistics,Archaeology,Languages, Literature & Linguistics,Education,Chemical Engineering,Art, Performing Arts & Design,Economics & Econometrics,Biological Sciences,Physics & Astronomy,Business & Management,Communication & Media Studies,Electrical & Electronic Engineering,Sociology,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Chemistry,Other Health,Computer Science,Law,General Engineering,Geography,Architecture,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance",FALSE,FALSE,FALSE,"china"
660,66,"The Hong Kong University of Science and Technology",72.9,660,54.1,97,60.9,82,93,70,100,25,98.1,10,"master_account",11,"/world-university-rankings/hong-kong-university-science-and-technology",526,"Hong Kong",9534,16.5,"44%",NA,"The Hong Kong University of Science and Technology hkust","Other Health,Physics & Astronomy,Chemical Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Chemistry,General Engineering,Sociology,Computer Science,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Biological Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Accounting & Finance",FALSE,FALSE,FALSE,"hong kong"
690,69,"Washington University in St Louis",72.2,690,59.8,75,56.9,101,97.5,18,78.4,334,74.8,357,"private",0,"/world-university-rankings/washington-university-st-louis",505,"United States",15303,7.9,"27%","52 : 48","Washington University in St Louis","Mechanical & Aerospace Engineering,Biological Sciences,Sociology,Art, Performing Arts & Design,Computer Science,Chemical Engineering,Electrical & Electronic Engineering,Law,Medicine & Dentistry,General Engineering,Accounting & Finance,Mathematics & Statistics,Economics & Econometrics,Education,Architecture,Politics & International Studies (incl Development Studies),Psychology,Geology, Environmental, Earth & Marine Sciences,Other Health,Business & Management,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Archaeology,Physics & Astronomy,Communication & Media Studies",FALSE,FALSE,FALSE,"united states of america"
700,70,"University of North Carolina at Chapel Hill",71.6,700,63.3,61,62.3,77,93.3,63,75.7,383,50.9,838,"public",0,"/world-university-rankings/university-north-carolina-chapel-hill",507,"United States",35049,8.7,"9%","60 : 40","University of North Carolina at Chapel Hill","Business & Management,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Other Health,Law,Agriculture & Forestry,Biological Sciences,Computer Science,Physics & Astronomy,Geography,Archaeology,Communication & Media Studies,Education,Accounting & Finance,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Sport Science,Chemistry,Mathematics & Statistics,Art, Performing Arts & Design,Economics & Econometrics,Psychology,Sociology,General Engineering",FALSE,FALSE,FALSE,"united states of america"
710,71,"Institut Polytechnique de Paris",71.3,710,69.2,44,60.8,83,73.4,492,98.3,95,97,25,"master_account",0,"/world-university-rankings/institut-polytechnique-de-paris",688843,"France",6062,6.7,"43%","24 : 76","Institut Polytechnique de Paris","History, Philosophy & Theology,Communication & Media Studies,Physics & Astronomy,Politics & International Studies (incl Development Studies),Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Business & Management,Mathematics & Statistics,Economics & Econometrics,Chemical Engineering,Civil Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Accounting & Finance,General Engineering,Computer Science",FALSE,FALSE,FALSE,"france"
720,72,"University of Southern California",71,720,58.3,81,60.4,85,92.8,78,75,391,73.2,378,"private",0,"/world-university-rankings/university-southern-california",519,"United States",44180,14.2,"27%","54 : 46","University of Southern California","General Engineering,Education,Physics & Astronomy,Biological Sciences,Art, Performing Arts & Design,Agriculture & Forestry,Chemical Engineering,Politics & International Studies (incl Development Studies),Computer Science,Chemistry,Psychology,Medicine & Dentistry,Economics & Econometrics,Architecture,Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Sport Science,Accounting & Finance,Other Health,Mathematics & Statistics,Law,Geography",FALSE,FALSE,FALSE,"united states of america"
750,75,"Boston University",70.6,750,60.5,68,56.2,105,93.2,64,71.2,460,75.3,350,"private",0,"/world-university-rankings/boston-university",518,"United States",28939,11.7,"32%","58 : 42","Boston University","Other Health,Politics & International Studies (incl Development Studies),Sociology,Mechanical & Aerospace Engineering,Education,Languages, Literature & Linguistics,Geography,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Computer Science,Art, Performing Arts & Design,Mathematics & Statistics,Biological Sciences,Medicine & Dentistry,History, Philosophy & Theology,Physics & Astronomy,Architecture,Electrical & Electronic Engineering,Business & Management,Economics & Econometrics,Archaeology,Communication & Media Studies,Law",FALSE,FALSE,FALSE,"united states of america"
760,76,"Sorbonne University",70.4,760,64.6,57,61.1,79,82.4,276,71.5,453,80.8,266,"master_account",0,"/world-university-rankings/sorbonne-university",644699,"France",40340,14.1,"22%","61 : 39","Sorbonne University","General Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Sociology,Archaeology,Biological Sciences,Chemistry,Mechanical & Aerospace Engineering,Geography,Languages, Literature & Linguistics,Civil Engineering,Education,Medicine & Dentistry,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,History, Philosophy & Theology,Chemical Engineering,Business & Management,Other Health,Physics & Astronomy",FALSE,FALSE,FALSE,"france"
770,77,"The University of Queensland",70.3,770,50.8,119,61.9,78,87.8,164,99.7,62,93.6,76,"master_account",11,"/world-university-rankings/university-queensland",538,"Australia",41249,37.6,"42%","55 : 45","The University of Queensland UQ UOQ","Geography,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering,General Engineering,Law,Agriculture & Forestry,Art, Performing Arts & Design,Archaeology,Other Health,Languages, Literature & Linguistics,Medicine & Dentistry,Sport Science,Education,Communication & Media Studies,Economics & Econometrics,Politics & International Studies (incl Development Studies),Business & Management,Chemical Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Veterinary Science,Architecture,Sociology,Accounting & Finance,Chemistry,Civil Engineering,Computer Science,Mathematics & Statistics,Psychology",FALSE,FALSE,FALSE,"australia"
780,78,"University of Bristol",70,780,49.8,129,56.9,100,96.8,30,71.1,464,92.6,94,"master_account",11,"/world-university-rankings/university-bristol",530,"United Kingdom",28730,14.5,"33%","55 : 45","University of Bristol","Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Mathematics & Statistics,Psychology,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,General Engineering,Communication & Media Studies,Medicine & Dentistry,Veterinary Science,Sociology,Archaeology,Civil Engineering,Education,History, Philosophy & Theology,Biological Sciences,Law,Physics & Astronomy,Business & Management",FALSE,FALSE,FALSE,"united kingdom"
790,79,"Purdue University West Lafayette",69.9,790,63,63,68.9,56,73.8,483,86.2,235,77.2,311,"public",0,"/world-university-rankings/purdue-university-west-lafayette",562,"United States",41612,18.7,"20%","42 : 58","Purdue University West Lafayette","Physics & Astronomy,Biological Sciences,Art, Performing Arts & Design,Architecture,Sport Science,Computer Science,Accounting & Finance,Languages, Literature & Linguistics,Sociology,Economics & Econometrics,Medicine & Dentistry,Chemical Engineering,Veterinary Science,Agriculture & Forestry,History, Philosophy & Theology,Other Health,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Education,Chemistry,Communication & Media Studies,Psychology,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Archaeology,Business & Management,Mathematics & Statistics",FALSE,FALSE,FALSE,"united states of america"
820,82,"Korea Advanced Institute of Science and Technology (KAIST)",69.5,820,65.2,53,66.7,63,78.3,382,100,10,45.7,1029,"master_account",0,"/world-university-rankings/korea-advanced-institute-science-and-technology-kaist",558,"South Korea",10156,11.2,"11%","22 : 78","Korea Advanced Institute of Science and Technology (KAIST)","History, Philosophy & Theology,Electrical & Electronic Engineering,Sport Science,Languages, Literature & Linguistics,Chemical Engineering,Sociology,Computer Science,Mathematics & Statistics,Education,Archaeology,Veterinary Science,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Communication & Media Studies,Architecture,Chemistry,Medicine & Dentistry,Biological Sciences,Psychology,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Other Health,Physics & Astronomy,Economics & Econometrics",FALSE,FALSE,FALSE,"south korea"
830,83,"UNSW Sydney",69.1,830,47.6,162,57.4,97,91.7,94,98.2,100,93.9,69,"master_account",6,"/world-university-rankings/unsw-sydney",638,"Australia",46165,35.6,"41%","46 : 54","UNSW Sydney unsw australia unsw","Medicine & Dentistry,Other Health,Chemistry,General Engineering,History, Philosophy & Theology,Architecture,Psychology,Sport Science,Education,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Chemical Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Accounting & Finance,Geography,Communication & Media Studies,Computer Science,Law,Civil Engineering,Business & Management,Physics & Astronomy",FALSE,FALSE,FALSE,"australia"
890,89,"University of Bonn",67.6,890,51.8,115,57.4,96,89.2,128,86.2,237,72.4,393,"master_account",0,"/world-university-rankings/university-bonn",868,"Germany",25027,38.5,"15%","57 : 43","University of Bonn","Physics & Astronomy,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Chemistry,Agriculture & Forestry,Archaeology,Biological Sciences,History, Philosophy & Theology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Geography,Sociology,Mathematics & Statistics,Other Health,Psychology",FALSE,FALSE,FALSE,"germany"
920,92,"RWTH Aachen University",67.2,920,53.9,99,64.2,70,78,387,100,20,70.3,432,"master_account",0,"/world-university-rankings/rwth-aachen-university",632,"Germany",29050,37.1,"31%","35 : 65","RWTH Aachen University","Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Business & Management,Chemical Engineering,Sociology,Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,General Engineering,Electrical & Electronic Engineering,Other Health,Physics & Astronomy,Medicine & Dentistry,Chemistry,Computer Science,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Mechanical & Aerospace Engineering,Geography,Education,Architecture,Civil Engineering",FALSE,FALSE,FALSE,"germany"
970,97,"University of Copenhagen",66.6,970,49.1,138,51.8,126,92,89,90.4,185,79.3,284,"master_account",0,"/world-university-rankings/university-copenhagen",599,"Denmark",30962,4.2,"14%","63 : 37","University of Copenhagen","Politics & International Studies (incl Development Studies),Other Health,Psychology,Archaeology,Biological Sciences,Communication & Media Studies,History, Philosophy & Theology,Law,Sport Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Computer Science,Economics & Econometrics,Mathematics & Statistics,Physics & Astronomy,Languages, Literature & Linguistics,Chemistry,Veterinary Science,Agriculture & Forestry,Geography,Sociology",FALSE,FALSE,FALSE,"denmark"
1060,106,"University of Warwick",65.7,1060,47.9,158,51.5,128,89,138,69.3,503,96.2,33,"master_account",0,"/world-university-rankings/university-warwick",622,"United Kingdom",25490,14.2,"45%","50 : 50","University of Warwick","Economics & Econometrics,Chemistry,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Business & Management,Psychology,Education,Communication & Media Studies,Geography,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Biological Sciences,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Electrical & Electronic Engineering,General Engineering,Sociology,Mechanical & Aerospace Engineering,Law,Other Health,Civil Engineering",FALSE,FALSE,FALSE,"united kingdom"
1150,115,"University of Southampton",65.3,1150,47.2,168,47.7,165,91.2,101,72.7,431,96.7,27,"master_account",0,"/world-university-rankings/university-southampton",593,"United Kingdom",23135,14.7,"43%","53 : 47","University of Southampton","Electrical & Electronic Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,History, Philosophy & Theology,Civil Engineering,Education,Physics & Astronomy,Geography,Accounting & Finance,Medicine & Dentistry,Chemical Engineering,Law,Biological Sciences,Economics & Econometrics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Psychology,General Engineering,Other Health,Communication & Media Studies,Chemistry,Sociology,Business & Management,Archaeology",FALSE,FALSE,FALSE,"united kingdom"
1200,120,"Tohoku University",65,1200,69,45,69.6,55,53.1,1025,100,27,59.9,631,"master_account",0,"/world-university-rankings/tohoku-university",584,"Japan",17218,12.3,"12%","28 : 72","Tohoku University","Computer Science,Sport Science,Education,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Other Health,Mathematics & Statistics,Business & Management,Medicine & Dentistry,Biological Sciences,Chemistry,General Engineering,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Geography,Accounting & Finance,Archaeology,Agriculture & Forestry,Law,Architecture,Veterinary Science,Sociology,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies",FALSE,FALSE,FALSE,"japan"
1210,121,"University of Göttingen",64.8,1210,49.2,137,54,113,88.2,159,70.7,478,70.5,427,"master_account",0,"/world-university-rankings/university-gottingen",533,"Germany",21729,25.2,"14%","54 : 46","University of Göttingen","Biological Sciences,Geography,Education,Veterinary Science,Law,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Languages, Literature & Linguistics,Sport Science,Psychology,Medicine & Dentistry,Chemistry,Business & Management,History, Philosophy & Theology,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Archaeology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Computer Science,Sociology,Other Health,Communication & Media Studies,Physics & Astronomy",FALSE,FALSE,FALSE,"germany"
1220,122,"Michigan State University",64.7,1220,54.9,93,53.5,114,83.5,245,70,487,69.1,452,"public",0,"/world-university-rankings/michigan-state-university",560,"United States",44672,16.1,"10%","53 : 47","Michigan State University","Business & Management,Other Health,History, Philosophy & Theology,Chemistry,Law,General Engineering,Agriculture & Forestry,Art, Performing Arts & Design,Sociology,Sport Science,Computer Science,Economics & Econometrics,Architecture,Geology, Environmental, Earth & Marine Sciences,Psychology,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemical Engineering,Biological Sciences,Languages, Literature & Linguistics,Civil Engineering,Education,Mathematics & Statistics,Communication & Media Studies,Geography,Archaeology,Medicine & Dentistry,Veterinary Science,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering",FALSE,FALSE,FALSE,"united states of america"
1230,123,"University of Leeds",64.5,1230,46.4,183,51,132,87,179,71.2,461,94.6,57,"master_account",0,"/world-university-rankings/university-leeds",597,"United Kingdom",35710,15.1,"38%","59 : 41","University of Leeds","General Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Chemistry,Chemical Engineering,Physics & Astronomy,Communication & Media Studies,Languages, Literature & Linguistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Computer Science,Education,History, Philosophy & Theology,Accounting & Finance,Psychology,Law,Sociology,Politics & International Studies (incl Development Studies),Sport Science,Agriculture & Forestry,Mathematics & Statistics,Civil Engineering,Other Health,Art, Performing Arts & Design",FALSE,FALSE,FALSE,"united kingdom"
1240,124,"Technical University of Denmark",64.4,1240,49.8,128,46.8,171,84,233,99.8,53,92.2,98,"master_account",0,"/world-university-rankings/technical-university-denmark",643,"Denmark",10492,8,"30%","34 : 66","Technical University of Denmark","Chemical Engineering,Biological Sciences,Agriculture & Forestry,Physics & Astronomy,Other Health,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,General Engineering,Civil Engineering,Mathematics & Statistics,Chemistry,Veterinary Science",FALSE,FALSE,FALSE,"denmark"
1250,125,"Université de Montréal",64.3,1250,49.3,134,53.2,119,79.5,344,97.8,103,86.8,184,"master_account",11,"/world-university-rankings/universite-de-montreal",569,"Canada",39359,20.2,"23%",NA,"Université de Montréal Université de Montréal Universite de Montreal","Communication & Media Studies,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geography,Sport Science,Mathematics & Statistics,Architecture,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Civil Engineering,Biological Sciences,Psychology,Computer Science,Veterinary Science,Chemical Engineering,Business & Management,Sociology,Archaeology,General Engineering,Education,Accounting & Finance,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Law",FALSE,FALSE,FALSE,"canada"
1260,126,"University of Basel",64.2,1260,50.5,122,42.7,221,86,197,99.7,64,95.1,48,"master_account",0,"/world-university-rankings/university-basel",575,"Switzerland",8527,10.2,"33%","57 : 43","University of Basel","Psychology,Art, Performing Arts & Design,Archaeology,Physics & Astronomy,Chemistry,Business & Management,History, Philosophy & Theology,Sport Science,Law,Medicine & Dentistry,Other Health,Sociology,Languages, Literature & Linguistics,Accounting & Finance,Communication & Media Studies,Politics & International Studies (incl Development Studies),Education,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Economics & Econometrics,Mathematics & Statistics,Geography",FALSE,FALSE,FALSE,"switzerland"
1270,127,"University of Rochester",63.9,1270,50.8,120,44.5,199,87.8,166,91.6,173,80.1,275,"private",0,"/world-university-rankings/university-rochester",545,"United States",10470,8.3,"37%","51 : 49","University of Rochester","Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Psychology,Biological Sciences,Medicine & Dentistry,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geography,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Economics & Econometrics,Physics & Astronomy,Accounting & Finance,Veterinary Science,Agriculture & Forestry,Business & Management,Communication & Media Studies,Archaeology,History, Philosophy & Theology,Sociology,Chemistry,Architecture,Other Health",FALSE,FALSE,FALSE,"united states of america"
1390,139,"Trinity College Dublin",62.5,1390,43.3,240,47.7,163,85.8,205,83.5,275,91.6,118,"master_account",11,"/world-university-rankings/trinity-college-dublin",582,"Ireland",19659,23.2,"39%","62 : 38","Trinity College Dublin","Art, Performing Arts & Design,General Engineering,Sociology,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Law,Mechanical & Aerospace Engineering,Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Psychology,Medicine & Dentistry,Chemistry,Accounting & Finance,Civil Engineering,Education,Mathematics & Statistics",FALSE,FALSE,FALSE,"ireland"
1400,140,"Technical University of Berlin",62.4,1400,45.4,200,54.7,111,79.5,342,99.7,61,71.4,417,"master_account",0,"/world-university-rankings/technical-university-berlin",1022,"Germany",20260,48.2,"28%","36 : 64","Technical University of Berlin","General Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Computer Science,Education,Accounting & Finance,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Civil Engineering,Chemistry,Architecture,Chemical Engineering,Physics & Astronomy",FALSE,FALSE,FALSE,"germany"
